"","log2FoldChange","padj","Factor"
"ko:K00024",-0.488327745946434,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00031",-0.611519630710219,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00128",-0.217749580456735,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00134",2.16027203462973,0.244009752808155,"Menthol_Menthol_vs_Control"
"ko:K00140",-0.16525983054505,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K00207",0.366874041340978,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00235",-0.334507260931693,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00249",-0.00715292261709026,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K00262",0.026733129971964,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K00331",0.215421823322578,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K00333",-0.688183049507102,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K00338",0.670038171313306,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00357",0.446508359547901,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00411",0.110399805434325,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00413",0.408515569754399,0.988420279192979,"Menthol_Menthol_vs_Control"
"ko:K00456",-0.658711380883774,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K00469",0.111086463214243,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00500",0.140381722047494,0.995446150176001,"Menthol_Menthol_vs_Control"
"ko:K00522",-0.937153496378919,0.0711769209851748,"Menthol_Menthol_vs_Control"
"ko:K00544",0.0905391620979707,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K00616",-1.8357184485643,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K00643",0.37524843788242,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K00789",0.0852943973053671,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K00799",-0.493416156012729,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00814",-0.47263429736296,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00819",0.63239689412884,0.308134612661813,"Menthol_Menthol_vs_Control"
"ko:K00856",0.0994713180116245,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K00933",-0.175161325521149,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K00939",-0.516529248412166,0.836505044287531,"Menthol_Menthol_vs_Control"
"ko:K00940",0.22327857125509,0.975643509307983,"Menthol_Menthol_vs_Control"
"ko:K00966",-1.93913059327503,0.921772190672373,"Menthol_Menthol_vs_Control"
"ko:K00967",0.335976658244005,0.722471199733106,"Menthol_Menthol_vs_Control"
"ko:K01070",-0.706261085483443,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01206",-0.00494543548042469,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K01251",1.12737533400899,0.308134612661813,"Menthol_Menthol_vs_Control"
"ko:K01363",0.309931921542861,0.959547978287115,"Menthol_Menthol_vs_Control"
"ko:K01365",-0.0421442356614677,0.998667385812408,"Menthol_Menthol_vs_Control"
"ko:K01379",0.131958257921071,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01551",-0.501608838906761,0.967087376158991,"Menthol_Menthol_vs_Control"
"ko:K01596",0.722403397881226,0.180351114706442,"Menthol_Menthol_vs_Control"
"ko:K01623",-0.922446401922164,0.244009752808155,"Menthol_Menthol_vs_Control"
